Sample.ID,time.point,tank,treatment,plant.mass..g,sample type,other.tube.ID,organism.or.type,well-plate,plate.ID,DNA..ng.ul,,,
T1.1.water,T1,1,unburned,400,water,NA,water,A1,plate 1,0.76,,,
T1.2.water,T1,2,burned,0,water,NA,water,A2,plate 1,2.25,,,
T1.3.water,T1,3,unburned,300,water,NA,water,A3,plate 1,4.12,,,
T1.4.water,T1,4,burned,5,water,NA,water,A4,plate 1,7.2,,,
T1.5.water,T1,5,unburned,250,water,NA,water,A5,plate 1,1.62,,,
T1.6.water,T1,6,burned,10,water,NA,water,A6,plate 1,4.59,,,
T1.7.water,T1,7,unburned,225,water,NA,water,A7,plate 1,8.06,,,
T1.8.water,T1,8,burned,25,water,NA,water,A8,plate 1,2.52,,,
T1.9.water,T1,9,unburned,200,water,NA,water,A9,plate 1,0.46,,,
T1.10.water,T1,10,burned,50,water,NA,water,A10,plate 1,2.31,,,
T1.11.water,T1,11,unburned,175,water,NA,water,A11,plate 1,0.55,,,
T1.12.water,T1,12,burned,75,water,NA,water,A12,plate 1,4.79,,,
T1.13.water,T1,13,unburned,150,water,NA,water,B1,plate 1,0.104,,,
T1.14.water,T1,14,burned,100,water,NA,water,B2,plate 1,18.8,,,
T1.15.water,T1,15,unburned,125,water,NA,water,B3,plate 1,2.95,,,
T1.16.water,T1,16,burned,125,water,NA,water,B4,plate 1,5.72,,,
T1.17.water,T1,17,unburned,100,water,NA,water,B5,plate 1,0.39,,,
T1.18.water,T1,18,burned,150,water,NA,water,B6,plate 1,4.54,,,
T1.19.water,T1,19,unburned,75,water,NA,water,B7,plate 1,1.04,,,
T1.20.water,T1,20,burned,175,water,NA,water,B8,plate 1,3.07,,,
T1.21.water,T1,21,unburned,50,water,NA,water,B9,plate 1,2.3,,,
T1.22.water,T1,22,burned,200,water,NA,water,B10,plate 1,1.22,,,
T1.23.water,T1,23,unburned,25,water,NA,water,B11,plate 1,2.35,,,
T1.24.water,T1,24,burned,225,water,NA,water,B12,plate 1,0.399,,,
T1.25.water,T1,25,unburned,10,water,NA,water,C1,plate 1,6.65,,,
T1.26.water,T1,26,burned,250,water,NA,water,C2,plate 1,1.37,,,
T1.27.water,T1,27,unburned,5,water,NA,water,C3,plate 1,2.45,,,
