,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd,gRodon.d.mean,gRodon.d.sd
220410_Pyro_plank_102_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798847,1.1521328816827454e-16,0.22238591055820084,2.8803322042068636e-17,8.13262806549622,0.0
220410_Pyro_plank_107_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_plank_120_16S.16S.exp.,2.222222222222222,4.608531526730982e-16,2.4444444444444438,9.217063053461964e-16,3169.5555555555557,4.719136283372525e-13,3357758.8888888885,4.832395554173466e-10,67.28491290822487,2.9494601771078283e-14,0.7270263124907022,0.0,0.2632953295315307,5.760664408413727e-17,6.220072557054142,0.0
220410_Pyro_leaf_158_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_leaf_129_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_leaf_181_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_plank_101_16S.16S.exp.,1.0,0.0,1.0,0.0,1180.0,0.0,973463.0,0.0,43.23831516965719,0.0,0.9622361251079816,0.0,0.9622361251079816,0.0,,
220410_Pyro_water_87_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_water_32_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_plank_116_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_water_29_16S.16S.exp.,1.0,0.0,1.0,0.0,1603.6666666666667,0.0,1695705.0,0.0,48.6852842955098,0.0,0.8073479820074804,0.0,0.1879367588108845,0.0,4.77585344802755,0.0
220410_Pyro_plank_98_16S.16S.exp.,1.0,0.0,1.0,0.0,1603.6666666666667,0.0,1695705.0,0.0,48.6852842955098,0.0,0.8073479820074804,0.0,0.18793675881088454,3.3993498887762956e-17,4.77585344802755,0.0
220410_Pyro_water_66_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798847,1.1521328816827454e-16,0.22238591055820084,2.8803322042068636e-17,8.13262806549622,0.0
220410_Pyro_plank_112_16S.16S.exp.,1.2962962962962963,0.5879447357921311,1.0,0.0,1526.7037037037035,805.4985204904758,1442299.6296296297,931688.8645611852,41.04623334563129,3.9766917759321956,0.9042225577682146,0.06879674394895677,0.6216754950913705,0.40428680446911036,11.38935099961316,3.7605397253768866
220410_Pyro_leaf_167_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
220410_Pyro_plank_104_16S.16S.exp.,1.0,0.0,1.0,0.0,980.5,0.0,971047.5,0.0,42.56212284807032,0.0,0.8311514382798846,0.0,0.2223859105582008,0.0,8.13262806549622,0.0
