,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd,gRodon.d.mean,gRodon.d.sd
220410_Pyro_leaf_166_16S.16S.exp.,1.6393373306135428,0.9731457146587198,1.3544362742456546,0.9260095548392481,3881.9963242376275,1168.861328609308,4609782.9631815255,1691134.6706332606,58.332093142290525,10.548194248172583,0.3461461560597179,0.13885993977030553,0.524038425201609,0.21986390865698813,5.925803861814286,3.411945794017229
220410_Pyro_leaf_163_16S.16S.exp.,1.9837308548031984,1.2796934406993083,1.436076284321386,0.8884210736754964,3864.677947251067,1324.5700246414922,4533723.582407606,1717644.1463341387,57.96509756854988,11.235840406517855,0.3630787748461875,0.13527042822879856,0.4933533595794745,0.1996374175727574,4.735017252269956,3.5054405990611506
220410_Pyro_water_89_16S.16S.exp.,2.509371450769626,0.8233239596096482,1.2637396374329748,0.687797428218149,2847.377813428016,772.6194196724068,3187557.5882225255,956619.5590879685,47.48141509956991,8.308122284395743,0.37212514974197797,0.12705932010238769,0.3834029140196542,0.13846404846524413,2.67544368931061,2.144085271264728
220410_Pyro_water_61_16S.16S.exp.,1.7226344738978614,1.0488744261366192,1.1436606935301588,0.6208414637017482,2722.2774786491123,1229.122276830365,2996664.943285843,1690477.3154572153,46.41818055872639,6.302873218865079,0.36319632799130713,0.104334174834527,0.4857122360213276,0.1700053427761861,4.268467498632814,1.9946677518866838
220410_Pyro_plank_102_16S.16S.exp.,2.748171726360407,0.6967825343515527,2.7446796663402733,1.1252089823612248,4940.806868787442,1269.4917801543666,6220786.080103836,1910446.8016102759,50.57892860673505,10.344104851081559,0.40374768714761033,0.0848359970188568,0.4387805411797857,0.1373066106587432,6.993969457826349,2.3808223907541413
220410_Pyro_water_90_16S.16S.exp.,2.271997610949399,1.1148354601571604,1.4206831351778093,0.9388132511859419,3929.4965798478343,1292.9697264878869,4724045.603119663,1643271.3022657644,49.29567082969869,11.87364454057998,0.30622559390731985,0.14714321102812686,0.517652648938177,0.2513823782737948,5.01606426067255,3.399148478277869
220410_Pyro_leaf_142_16S.16S.exp.,3.174258537720578,1.3320757852662788,1.1809929632795988,0.5249110676759613,3301.316413887349,885.9041652613965,3965215.28851406,1060030.3264478242,50.43900588603104,10.301418642496541,0.2983413091121143,0.11989312944993323,0.3789326400140818,0.20703537915825848,4.816796655380526,3.3230426008101466
220410_Pyro_water_81_16S.16S.exp.,2.0463040585405157,1.0689164407276772,1.068702275694475,0.4219146370759372,2605.6581973860166,1081.9023313388502,2927222.1866763867,1351636.4365226747,45.554707626992816,11.28959201589276,0.3750626863550544,0.142201395732398,0.42557287697380847,0.1862735151610493,4.850795962386179,3.5063252608409003
220410_Pyro_plank_107_16S.16S.exp.,3.3980150798429904,1.8325432488341624,2.5810347533818327,2.072783522222488,4195.044754425111,1559.683437559046,4854540.072685554,1932444.8236260642,53.50783581399042,13.603283510171,0.40314095491897817,0.10611598782535903,0.4436057757279431,0.14670106618499298,4.558720454878011,2.9187086423494017
220410_Pyro_water_34_16S.16S.exp.,2.2936550082493503,0.7726947327394168,1.2269094926217115,0.5622700158987841,3219.6291838531783,948.5723059039578,3709666.078242587,1244895.9714303159,48.835939098497334,9.44381926625611,0.3380910006547635,0.11986654754470198,0.5741210251999006,0.22395198348990308,2.9303765797829078,1.6513699098269408
220410_Pyro_mock_183_16S.16S.exp.,5.626766394506467,1.8063944805357541,2.207372540969052,2.1193456991789263,2945.893573088045,1208.460097723821,3156966.3538286025,1394478.490372108,40.20769092510382,10.679551892308664,0.5084498776185236,0.03612858633829865,0.504589487143477,0.03735650872773097,1.5261547910059843,0.7827973544080916
220410_Pyro_water_01_16S.16S.exp.,1.9638835176103948,1.5559234244875695,1.1047365909630682,0.5475218928933401,3390.2911258688996,789.1551814832087,3761666.7813013946,863104.8502474416,57.636827103453406,12.013050744226264,0.43261531505261136,0.12112099015044522,0.5316840489341624,0.1817460018352329,5.267332076009086,3.957631385090489
220410_Pyro_water_41_16S.16S.exp.,1.6471468090947188,0.8534359264135464,1.2997257617299927,0.9492254999639577,3316.7686200938856,1058.3793894125479,3726426.0541767827,1286131.0389270957,55.82282606143997,12.583799579843744,0.4390181876678428,0.12719815003384854,0.5122691756598186,0.14181384767004496,5.168526825053429,2.230820243540104
220410_Pyro_leaf_158_16S.16S.exp.,2.1956028108283805,1.4270439837409947,1.3934539217877477,0.9178918437182878,3700.666695306874,1148.4324908165875,4314562.728513873,1517121.6900286851,57.8629090653618,11.09029471827369,0.37081777521027426,0.12800649158524652,0.5263833505259102,0.18812588918772685,4.489441525911953,3.4439799895153262
220410_Pyro_plank_99_16S.16S.exp.,1.9986981256010439,1.5717624260148546,5.402528126810499,2.931264606018639,2048.014050518447,1578.09397142332,2365668.499880731,1908202.2603388745,37.165293242753776,13.31605692294024,0.45365252505837717,0.10493655950260408,0.46489773181556154,0.1189250630663015,5.284950605238263,3.282502726953735
220410_Pyro_leaf_171_16S.16S.exp.,1.6873634005065126,0.9179292353867994,1.3288091131652693,0.9066977600788667,4040.4547568186667,1636.589238527552,4946435.4105658755,2249485.008488451,52.529824482927545,13.128311218880418,0.3224687693266209,0.16683688419171283,0.4403438952642294,0.2518707007228886,5.67016642911256,3.3922592519170753
220410_Pyro_leaf_144_16S.16S.exp.,2.069226258740889,1.2315554932026902,1.4786338667153551,1.1528155906941815,3459.3336912028713,1445.9827413537287,4072302.675809736,1815513.0779841964,52.82998312265017,14.130483804335533,0.3859301831763513,0.15541312531861068,0.5025606185489112,0.19922965281694147,5.230961639350748,3.678560814407019
220410_Pyro_water_87_16S.16S.exp.,2.1097195612744506,1.0744493929980659,1.2883595874139544,0.9375386457221608,3364.230904394723,1284.91002806181,3788647.679371848,1621169.7045273315,48.67641273031726,13.901379770695875,0.38334040056917773,0.17078535822900467,0.469298143722479,0.21183737413736178,3.8209989459971707,2.2759708886239287
220410_Pyro_leaf_152_16S.16S.exp.,2.378560043256774,1.4948582326108075,1.475403629801088,1.388615646131731,3541.7933447018877,1584.2453574591905,4108351.0810964433,1922181.3918731783,51.40892356075963,15.284495071450236,0.40257446837487676,0.15865661726243618,0.4695264930233695,0.19025925004708763,4.714078222778304,3.5717658086488813
220410_Pyro_plank_93_16S.16S.exp.,3.004902564628949,1.9087624527997211,1.844776681113798,1.602993088139454,3317.1197677011173,1252.9408427381989,3753473.978888568,1395060.1365073947,54.72639935196028,11.501851169598552,0.4297281019847798,0.09071290574704963,0.5224460544931763,0.1459748746817272,4.561499150519228,2.890864822545986
220410_Pyro_leaf_145_16S.16S.exp.,1.8100098492777699,1.047427328204304,1.5407224178411372,1.0631168388023278,3671.125875432135,1292.6366228344334,4281268.36987346,1640808.8060961303,56.936454263363174,12.099208342159585,0.36570847072926715,0.1325008780725291,0.49880367446888335,0.1998160983112199,5.646790667628555,3.7388367535820346
220410_Pyro_water_15_16S.16S.exp.,2.392221771632426,1.3003503010216788,1.6817317595618186,1.716539714233044,3423.5604226358982,1296.5939015653555,3924363.885218666,1539634.383460303,46.92363309248494,13.126301334331904,0.3871088291077878,0.14660768145244837,0.4444272334007582,0.18840146427678753,4.326794929616182,3.202730421533858
220410_Pyro_leaf_135_16S.16S.exp.,1.84713253689753,1.0384032575224351,1.2473862312320907,0.7133935481682028,3810.4417054137944,1167.411097685449,4567641.110664689,1497589.1615742561,58.03259378682975,11.197038594639594,0.32509509670263265,0.11966809452070544,0.5337140592809394,0.21076015569139828,4.781298817521541,3.1955652058506225
