,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Acidobacteria_41,Bacteria,Acidobacteria,,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,,Paludibaculum fermentans
Actinobacteria_2446,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. C5510,,Cellulomonas sp. C5510
Actinobacteria_400,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,Aquihabitans sp. G128,,Aquihabitans sp. G128
Actinobacteria_403,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,,,,,Acidimicrobiales
Bacteroidetes_1005,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium jumunjinense,,Flavobacterium jumunjinense
Bacteroidetes_1016,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_1059,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. M31R6,,Flavobacterium sp. M31R6
Bacteroidetes_1061,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium commune,,Flavobacterium commune
Bacteroidetes_1062,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. F-340,,Flavobacterium sp. F-340
Bacteroidetes_1087,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_128,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium,Ichthyobacterium seriolicida,,Ichthyobacterium seriolicida
Bacteroidetes_129,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola taffensis,Fluviicola taffensis DSM 16823,Fluviicola taffensis DSM 16823
Bacteroidetes_130,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix sp. GM2_3_6_6,,Crocinitomix sp. GM2_3_6_6
Bacteroidetes_148,Bacteria,Bacteroidetes,FCB group,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,,,,Rhodothermaceae
Bacteroidetes_150,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,Haliscomenobacter hydrossis DSM 1100,Haliscomenobacter hydrossis DSM 1100
Bacteroidetes_165,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter lapsinanis,,Ferruginibacter lapsinanis
Bacteroidetes_168,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter sp. S13-6-6,,Lacibacter sp. S13-6-6
Bacteroidetes_173,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Bacteroidetes_187,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Phnomibacter,Phnomibacter ginsenosidimutans,,Phnomibacter ginsenosidimutans
Bacteroidetes_189,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter sp. IMCC34837,,Flavihumibacter sp. IMCC34837
Bacteroidetes_208,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Bacteroidetes_284,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter steynii,,Pedobacter steynii
Bacteroidetes_310,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter aquae,,Pedobacter aquae
Bacteroidetes_317,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,,Sphingobacteriaceae
Bacteroidetes_318,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga rosea,,Rhodocytophaga rosea
Bacteroidetes_324,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,Runella rosea,,Runella rosea
Bacteroidetes_326,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,,,Runella
Bacteroidetes_327,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,Runella sp. SP2,,Runella sp. SP2
Bacteroidetes_358,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Leadbetterella,Leadbetterella byssophila,Leadbetterella byssophila DSM 17132,Leadbetterella byssophila DSM 17132
Bacteroidetes_359,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Arcticibacterium,Arcticibacterium luteifluviistationis,,Arcticibacterium luteifluviistationis
Bacteroidetes_360,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,,,,Spirosomaceae
Bacteroidetes_363,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,Aquirufa nivalisilvae,,Aquirufa nivalisilvae
Bacteroidetes_364,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,,,Aquirufa
Bacteroidetes_432,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_441,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_447,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola rosea,,Echinicola rosea
Bacteroidetes_461,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus sanaruensis,,Algoriphagus sanaruensis
