,unk.number,Time.point,Tank,Treatment,plant.mass..g,af_sum,sg_sum
T1_1,1,T1,1,unburned,400,1144714.286,1979861.111
T1_2,2,T1,2,burned,0,2257337.662,7235789.475
T1_3,3,T1,3,unburned,300,2978645.833,13883333.33
T1_4,4,T1,4,burned,5,1235172.414,6674090.908
T1_5,5,T1,5,unburned,250,1297711.864,9350000
T1_6,6,T1,6,burned,10,961990.2912,14520500
T1_7,7,T1,7,unburned,225,1627282.609,23850000
T1_8,8,T1,8,burned,25,2449454.545,8041052.632
T1_9,9,T1,9,unburned,200,1719320.988,11870000
T1_10,10,T1,10,burned,50,789718.3099,8771250
T1_11,11,T1,11,unburned,175,1134876.543,7698250
T1_12,12,T1,12,burned,75,269375,4304482.759
T1_13,13,T1,13,unburned,150,755588.2353,5157173.914
T1_14,14,T1,14,burned,100,2127121.212,6431666.666
T1_15,15,T1,15,unburned,125,1272727.273,5727758.621
T1_16,16,T1,16,burned,125,1368134.328,5019814.815
T1_17,17,T1,17,unburned,100,3473020.833,7473823.529
T1_18,18,T1,18,burned,150,872568.8073,8547894.737
T1_19,19,T1,19,unburned,75,745161.2904,5826250
T1_20,20,T1,20,burned,175,2166269.841,6243750
T1_21,21,T1,21,unburned,50,3417500,7082647.058
T1_22,22,T1,22,burned,200,771964.2856,4227000
T1_23,23,T1,23,unburned,25,479767.4418,6546785.714
T1_24,24,T1,24,burned,225,1837462.687,25288571.43
T1_25,25,T1,25,unburned,10,2031125,4703947.368
T1_26,26,T1,26,burned,250,1517376.238,10735625
T1_27,27,T1,27,unburned,5,2140000,4368043.478
T1_28,28,T1,28,burned,300,2364423.077,20080833.34
T1_29,29,T1,29,unburned,0,1126063.83,5769722.223
T1_30,30,T1,30,burned,400,1403740.741,6132000
T3_1,61,T3,1,unburned,400,850867.347,6235250
T3_2,62,T3,2,burned,0,652815.1261,3565555.555
T3_3,63,T3,3,unburned,300,352327.5862,3935147.058
T3_4,64,T3,4,burned,5,687532.4676,3526833.334
T3_5,65,T3,5,unburned,250,226867.4699,2858750
T3_6,66,T3,6,burned,10,316404.9587,4830416.667
T3_7,67,T3,7,unburned,225,380112.3595,6026315.789
T3_8,68,T3,8,burned,25,683409.0909,5221800
T3_9,69,T3,9,unburned,200,NA,NA
T3_10,70,T3,10,burned,50,880058.8235,6235250
T3_11,71,T3,11,unburned,175,821530.6123,3425500
T3_12,72,T3,12,burned,75,1064550,6214523.81
T3_13,73,T3,13,unburned,150,451839.0805,4953863.636
T3_14,74,T3,14,burned,100,939382.0224,2943157.895
T3_15,75,T3,15,unburned,125,168207.5472,2214342.105
T3_16,76,T3,16,burned,125,149220.7792,2885238.095
T3_17,77,T3,17,unburned,100,175000,5351666.666
T3_18,78,T3,18,burned,150,945575.2212,3769242.424
T3_19,79,T3,19,unburned,75,386558.4415,10278461.54
T3_20,80,T3,20,burned,175,1042560.976,4908064.516
T3_21,81,T3,21,unburned,50,322280,4153281.25
T3_22,82,T3,22,burned,200,163058.2524,5948181.818
T3_23,83,T3,23,unburned,25,815060.2409,9958750
T3_24,84,T3,24,burned,225,291861.7021,6097368.422
T3_25,85,T3,25,unburned,10,774222.2222,4360740.741
T3_26,86,T3,26,burned,250,258030.303,6221428.571
T3_27,87,T3,27,unburned,5,239885.0575,4735227.272
T3_28,88,T3,28,burned,300,327727.2727,4579629.629
T3_29,89,T3,29,unburned,0,509728.2609,4163888.889
T3_30,90,T3,30,burned,400,643186.8132,5068620.69
T4_1,121,T4,1,unburned,400,766358.0247,9562187.5
T4_2,122,T4,2,burned,0,1091590.909,3339487.179
T4_3,123,T4,3,unburned,300,562584.2697,6474999.999
T4_4,124,T4,4,burned,5,2091578.947,4984615.385
T4_5,125,T4,5,unburned,250,405380.4348,5959047.619
T4_5_bl,181,T4,5,unburned,250,NA,NA
T4_6,126,T4,6,burned,10,1143956.044,5946250
T4_6_bl,182,T4,6,burned,10,141785.7143,4627500
T4_7,127,T4,7,unburned,225,741987.9518,4207962.962
T4_8,128,T4,8,burned,25,1318724.49,3963787.879
T4_9,129,T4,9,unburned,200,1905958.904,8747777.778
T4_10,130,T4,10,burned,50,1129791.667,4167666.666
T4_11,131,T4,11,unburned,175,3944863.013,6071590.909
T4_11_bl,183,T4,11,unburned,175,NA,NA
T4_12,132,T4,12,burned,75,1679158.878,3421250
T4_13,133,T4,13,unburned,150,822050,5682608.696
T4_14,134,T4,14,burned,100,647215.9091,5088043.478
T4_15,135,T4,15,unburned,125,701262.1359,5415652.174
T4_15_bl,184,T4,15,unburned,125,NA,NA
T4_16,136,T4,16,burned,125,546836.7347,4931923.077
T4_17,137,T4,17,unburned,100,1245421.687,4302352.941
T4_18,138,T4,18,burned,150,535196.0785,3902777.778
T4_18_bl,185,T4,18,burned,150,132761.194,4841041.667
T4_19,139,T4,19,unburned,75,1109230.769,3353750
T4_20,140,T4,20,burned,175,956048.3871,5031875
T4_21,141,T4,21,unburned,50,1907685.95,2750937.5
T4_22,142,T4,22,burned,200,315990.0991,5243333.333
T4_23,143,T4,23,unburned,25,801086.9565,2582413.793
T4_24,144,T4,24,burned,225,5.00E+05,4560400
T4_25,145,T4,25,unburned,10,477578.9474,4111071.428
T4_26,146,T4,26,burned,250,168939.3939,4228666.667
T4_27,147,T4,27,unburned,5,404024.3902,3417647.059
T4_28,148,T4,28,burned,300,184126.2136,3314090.909
T4_29,149,T4,29,unburned,0,740074.6268,2763750
T4_30,150,T4,30,burned,400,1069184.783,4299166.666
T4_6_bl_b,187,T4,6,burned,10,NA,NA
