,Time.point,Date.collected,Treatment,plant.mass..g,Tank,spp,Density
1,T0,11/3/21,unburned,400,1,chironomid,0
2,T0,11/3/21,unburned,400,1,nauplii,0.75
3,T0,11/3/21,unburned,400,1,kellicottia,1
4,T0,11/3/21,unburned,400,1,keratella,0
5,T0,11/3/21,unburned,400,1,cyclopoid,1.25
6,T0,11/3/21,unburned,400,1,calanoid,0.25
7,T0,11/3/21,unburned,400,1,daphnia,0
8,T1,11/15/21,unburned,400,1,calanoid,0
9,T1,11/15/21,unburned,400,1,cyclopoid,0
10,T1,11/15/21,unburned,400,1,chironomid,4.545454545
11,T1,11/15/21,unburned,400,1,nauplii,0.909090909
12,T1,11/15/21,unburned,400,1,kellicottia,0
13,T1,11/15/21,unburned,400,1,keratella,0
14,T1,11/15/21,unburned,400,1,mosquito,27.27272727
15,T1,11/15/21,unburned,400,1,daphnia,0
16,T2,12/6/21,unburned,400,1,calanoid,0
17,T2,12/6/21,unburned,400,1,cyclopoid,0.552486188
18,T2,12/6/21,unburned,400,1,chironomid,0
19,T2,12/6/21,unburned,400,1,nauplii,0
20,T2,12/6/21,unburned,400,1,kellicottia,0
21,T2,12/6/21,unburned,400,1,keratella,0
22,T2,12/6/21,unburned,400,1,bosmina,0
23,T2,12/6/21,unburned,400,1,ceriodaphnia,0
24,T2,12/6/21,unburned,400,1,daphnia,0
25,T2,12/6/21,unburned,400,1,mosquito,32.87292818
26,T3,1/3/22,unburned,400,1,calanoid,0
27,T3,1/3/22,unburned,400,1,cyclopoid,0
28,T3,1/3/22,unburned,400,1,chironomid,0
29,T3,1/3/22,unburned,400,1,nauplii,0
30,T3,1/3/22,unburned,400,1,kellicottia,0
31,T3,1/3/22,unburned,400,1,keratella,0
32,T3,1/3/22,unburned,400,1,daphnia,0
33,T3,1/3/22,unburned,400,1,mosquito,19.17475728
34,T3,1/3/22,unburned,400,1,mayfly,0.242718447
35,T4,2/1/22,unburned,400,1,calanoid,0
36,T4,2/1/22,unburned,400,1,cyclopoid,0.25
37,T4,2/1/22,unburned,400,1,chironomid,0
38,T4,2/1/22,unburned,400,1,nauplii,0.5
39,T4,2/1/22,unburned,400,1,ephipium,0
40,T4,2/1/22,unburned,400,1,keratella,0
41,T4,2/1/22,unburned,400,1,bosmina,0
42,T4,2/1/22,unburned,400,1,ceriodaphnia,0
43,T4,2/1/22,unburned,400,1,daphnia,5.25
44,T4,2/1/22,unburned,400,1,mosquito,4.25
45,T0,11/3/21,burned,0,2,chironomid,0
46,T0,11/3/21,burned,0,2,calanoid,0
47,T0,11/3/21,burned,0,2,cyclopoid,0.251256281
48,T0,11/3/21,burned,0,2,nauplii,0.502512563
49,T0,11/3/21,burned,0,2,asplanchna,0
50,T0,11/3/21,burned,0,2,bosmina,0
51,T0,11/3/21,burned,0,2,ceriodaphnia,0
52,T0,11/3/21,burned,0,2,daphnia,0
53,T0,11/3/21,burned,0,2,unknown 1,0.251256281
54,T0,11/3/21,burned,0,2,calanoid,0
55,T0,11/3/21,burned,0,2,cyclopoid,0.251256281
56,T0,11/3/21,burned,0,2,keratella,0.753768844
57,T0,11/3/21,burned,0,2,kellicottia,0.753768844
58,T0,11/3/21,burned,0,2,daphnia,0.251256281
59,T0,11/3/21,burned,0,2,kellicottia,0
60,T0,11/3/21,burned,0,2,keratella,7.286432161
61,T0,11/3/21,burned,0,2,nauplii,0
62,T0,11/3/21,burned,0,2,chironomid,0
63,T0,11/3/21,burned,0,2,calanoid,0
64,T0,11/3/21,burned,0,2,cyclopoid,0
65,T0,11/3/21,burned,0,2,nauplii,0.502512563
66,T0,11/3/21,burned,0,2,keratella,0
67,T0,11/3/21,burned,0,2,kellicottia,0
68,T0,11/3/21,burned,0,2,chironomid,1.005025126
69,T1,11/15/21,burned,0,2,calanoid,0
70,T1,11/15/21,burned,0,2,cyclopoid,0
71,T1,11/15/21,burned,0,2,nauplii,0
72,T1,11/15/21,burned,0,2,chironomid,0
73,T1,11/15/21,burned,0,2,keratella,0
74,T1,11/15/21,burned,0,2,kellicottia,0.506329114
75,T1,11/15/21,burned,0,2,asplanchna,0
76,T1,11/15/21,burned,0,2,bosmina,0.253164557
77,T1,11/15/21,burned,0,2,ceriodaphnia,1.772151899
78,T1,11/15/21,burned,0,2,unknown 2,0.253164557
79,T1,11/15/21,burned,0,2,unknown 1,0.506329114
80,T1,11/15/21,burned,0,2,daphnia,0.253164557
81,T2,12/6/21,burned,0,2,calanoid,0.558659218
82,T2,12/6/21,burned,0,2,cyclopoid,0.279329609
83,T2,12/6/21,burned,0,2,chironomid,0
84,T2,12/6/21,burned,0,2,nauplii,0
85,T2,12/6/21,burned,0,2,kellicottia,0
86,T2,12/6/21,burned,0,2,keratella,0
87,T2,12/6/21,burned,0,2,bosmina,0
88,T2,12/6/21,burned,0,2,ceriodaphnia,0.279329609
89,T2,12/6/21,burned,0,2,daphnia,4.748603352
90,T2,12/6/21,burned,0,2,mosquito,0.558659218
91,T3,1/3/22,burned,0,2,calanoid,0.174825175
92,T3,1/3/22,burned,0,2,cyclopoid,0.174825175
93,T3,1/3/22,burned,0,2,chironomid,0
94,T3,1/3/22,burned,0,2,nauplii,2.447552448
95,T3,1/3/22,burned,0,2,kellicottia,0
96,T3,1/3/22,burned,0,2,keratella,0
97,T3,1/3/22,burned,0,2,daphnia,6.118881119
98,T3,1/3/22,burned,0,2,mosquito,0
99,T3,1/3/22,burned,0,2,mayfly,0
100,T4,2/1/22,burned,0,2,calanoid,0
101,T4,2/1/22,burned,0,2,cyclopoid,0
102,T4,2/1/22,burned,0,2,chironomid,0
103,T4,2/1/22,burned,0,2,nauplii,0.265251989
104,T4,2/1/22,burned,0,2,ephipium,0
105,T4,2/1/22,burned,0,2,keratella,0
106,T4,2/1/22,burned,0,2,bosmina,0
107,T4,2/1/22,burned,0,2,ceriodaphnia,0
108,T4,2/1/22,burned,0,2,daphnia,6.896551724
109,T4,2/1/22,burned,0,2,mosquito,0
110,T0,11/3/21,unburned,300,3,bursted daphnia,0
111,T0,11/3/21,unburned,300,3,ceriodaphnia,0
112,T0,11/3/21,unburned,300,3,daphnia,0
113,T0,11/3/21,unburned,300,3,calanoid,0
114,T0,11/3/21,unburned,300,3,cyclopoid,0.964630225
115,T0,11/3/21,unburned,300,3,chironomid,0
116,T0,11/3/21,unburned,300,3,caterpillars,2.572347267
117,T0,11/3/21,unburned,300,3,nauplii,0.321543408
118,T0,11/3/21,unburned,300,3,kellicottia,0
119,T0,11/3/21,unburned,300,3,keratella,0
120,T1,11/15/21,unburned,300,3,calanoid,0
121,T1,11/15/21,unburned,300,3,cyclopoid,0
122,T1,11/15/21,unburned,300,3,chironomid,0
123,T1,11/15/21,unburned,300,3,nauplii,0
124,T1,11/15/21,unburned,300,3,kellicottia,0
125,T1,11/15/21,unburned,300,3,keratella,0
126,T1,11/15/21,unburned,300,3,caterpillars,0.495049505
127,T1,11/15/21,unburned,300,3,ceriodaphnia,0
128,T1,11/15/21,unburned,300,3,daphnia,0.495049505
129,T1,11/15/21,unburned,300,3,mosquito,10.3960396
130,T2,12/6/21,unburned,300,3,calanoid,0
131,T2,12/6/21,unburned,300,3,cyclopoid,0.317460317
132,T2,12/6/21,unburned,300,3,chironomid,0
133,T2,12/6/21,unburned,300,3,nauplii,0
134,T2,12/6/21,unburned,300,3,kellicottia,0
135,T2,12/6/21,unburned,300,3,keratella,0
136,T2,12/6/21,unburned,300,3,bosmina,0
137,T2,12/6/21,unburned,300,3,ceriodaphnia,0
138,T2,12/6/21,unburned,300,3,daphnia,0.317460317
139,T2,12/6/21,unburned,300,3,mosquito,14.6031746
140,T3,1/3/22,unburned,300,3,calanoid,0
141,T3,1/3/22,unburned,300,3,cyclopoid,0
142,T3,1/3/22,unburned,300,3,chironomid,0.219298246
143,T3,1/3/22,unburned,300,3,nauplii,0.219298246
144,T3,1/3/22,unburned,300,3,kellicottia,0
